#OTU	NSTI
13074	0.029927
13100	0.019884
13112	0.011814
13115	0.079076
13120	0.029361
13140	0.057975
13180	0.026657
13186	0.018129
13214	0.014743000000000001
13226	0.074587
13233	0.015250999999999999
13236	0.023699
13325	0.0072180000000000005
13332	0.002926
13354	0.0353
13361	0.026206
13374	0.023659
13375	0.067893
13393	0.018219
13424	0.053757000000000006
13437	0.012587000000000001
13440	0.15884700000000002
13449	0.0192
13451	0.027611
13463	0.01993
13464	0.007165
13467	0.007882
13469	0.011612
13485	0.006978
13493	0.020794999999999998
13505	0.057192999999999994
13518	0.020942
13568	0.015212
13659	0.22158899999999998
13661	0.03991
13662	0.081579
13665	0.047972
13667	0.042061
